sha,ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
Q30,00C,2013,03,84625.0,5293.0,113486.89999999998,21.44094086529378
Q30,00D,2013,03,232628.0,15116.0,368076.3800000001,24.35011775602012
Q30,00F,2013,03,168292.0,9968.0,195410.16999999995,19.603748996789722
Q30,00G,2013,03,125410.0,5168.0,122996.65000000001,23.79966137770898
Q30,00H,2013,03,103460.0,6240.0,134210.57,21.50810416666667
Q30,00J,2013,03,198135.0,11861.0,303809.0300000001,25.61411601045444
Q30,00K,2013,03,228082.0,12036.0,293371.5099999999,24.37450232635426
Q30,00L,2013,03,264148.0,16865.0,328216.39,19.461392825378002
Q30,00M,2013,03,230654.0,13128.0,333773.1200000001,25.424521633150526
Q30,00N,2013,03,125301.0,8055.0,183927.38000000006,22.833939168218507
Q30,00P,2013,03,230622.0,13458.0,325645.4999999999,24.197168970129283
Q31,00Q,2013,03,124909.0,8330.0,209873.67,25.19491836734694
Q31,00R,2013,03,139228.0,9034.0,205161.95999999996,22.709980075271194
Q31,00T,2013,03,229563.0,15613.0,312934.91999999987,20.04322807916479
Q31,00V,2013,03,154052.0,8335.0,203417.31,24.405196160767847
Q31,00W,2013,03,156609.0,8184.0,245324.96999999994,29.976169354838703
Q31,00X,2013,03,139469.0,8394.0,192470.52999999994,22.929536573743142
Q31,00Y,2013,03,177319.0,10749.0,325690.45,30.299604614382734
Q31,01A,2013,03,288876.0,17288.0,432154.61000000004,24.997374479407686
Q31,01C,2013,03,164531.0,8938.0,198794.22000000003,22.241465652271206
Q31,01D,2013,03,172515.0,10590.0,268128.87,25.319062322946174
Q31,01E,2013,03,167553.0,9236.0,203778.45,22.06349610220875
Q31,01F,2013,03,101262.0,6894.0,162445.29,23.563285465622283
Q31,01G,2013,03,189822.0,10151.0,205074.72999999995,20.202416510688597
Q31,01H,2013,03,405247.0,21679.0,556426.1900000001,25.66659855159371
Q32,01H,2013,03,6365.0,278.0,6684.3,24.044244604316546
Q31,01J,2013,03,126163.0,8044.0,192831.09999999995,23.972041272998503
Q31,01K,2013,03,131046.0,7155.0,172804.12,24.151519217330538
Q31,01M,2013,03,138202.0,8034.0,242270.43999999994,30.155643515060984
Q31,01N,2013,03,131660.0,6960.0,196528.72000000006,28.236885057471273
